251,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,R
14,10,34,0.6,144,60,40,0.099,32.66,42.25,0.214
15,9,28,0.6,172,56,39,0.096,31.09,42.87,0.234
18,12,42,0.6,131,42,24,0.065,28.29,40.55,0.152
20,7,63,0.6,88,46,27,0.074,26.49,49.73,0.156
22,8,48,0.6,93,62,32,0.093,25.27,62.04,0.154
0,9,47,0.6,83,55,42,0.114,25.27,62.04,0.125
2,9,38,0.6,88,52,52,0.105,24.6,74.35,0.099
4,8,21,0.5,102,0,53,0.101,24.06,80.14,0.123
6,9,25,0.6,91,0,45,0.12,25.02,75.82,0.167
8,12,38,0.6,87,49,44,0.1,32.57,47.53,0.276
11,8,18,0.5,138,27,27,0.073,32.8,37.17,0.181
13,9,17,0.5,145,36,27,0.072,32.43,41.86,0.162
15,8,19,0.5,142,26,24,0.062,31.23,39.99,0.16
17,8,23,0.6,138,34,21,0.066,29.9,42.63,0.182
19,8,42,0.6,111,45,24,0.075,27.73,47.89,0.182
21,8,42,0.6,105,55,28,0.087,26.19,58.27,0.195
23,10,42,0.7,94,62,38,0.106,26.19,58.27,0.115
1,10,31,0.7,95,47,45,0.112,24.19,71.31,0.169
3,10,24,0.7,92,0,45,0.109,23.72,73.97,0.133
5,10,23,0.7,94,0,50,0.105,23.71,75.24,0.181
7,10,34,0.7,90,44,40,0.078,28.65,59.02,0.175
9,12,30,0.6,108,0,27,0.058,38.97,31.38,0.166
12,11,16,0.6,151,29,19,0.049,37.53,28.91,0.146
14,9,16,0.6,173,25,18,0.046,35.76,29.32,0.154
16,11,19,0.6,170,48,23,0.06,34.07,35.5,0.175
18,10,25,0.6,150,60,27,0.071,31.03,42.89,0.213
20,9,38,0.7,110,58,23,0.072,28.27,52.64,0.194
22,8,25,0.6,106,74,31,0.083,26.36,69.38,0.171
0,9,26,0.6,84,46,36,0.093,26.36,69.38,0.137
2,10,20,0.7,73,50,41,0.092,25.24,83.29,0.11
4,10,18,0.6,65,0,44,0.094,25.25,85.14,0.107
6,9,26,0.6,60,40,37,0.102,26.32,81.19,0.15
8,11,24,0.7,72,42,34,0.082,31.34,58.46,0.161
11,0,0,0,0,0,0,0.061,35,40.14,0.172
13,0,0,0,0,0,0,0.058,33.4,41.48,0.189
15,0,0,0,0,0,0,0.056,31.95,44.44,0.163
17,10,16,0.5,110,39,23,0.065,29.86,54.44,0.138
19,10,26,0.6,86,58,24,0.065,27.9,67.21,0.162
21,8,20,0.6,89,45,17,0.056,26.97,75.67,0.14
23,8,21,0.6,83,31,12,0.051,26.97,75.67,0.146
1,8,16,0.6,80,25,15,0.05,26.92,80.37,0.107
3,9,12,0.6,81,29,17,0.048,27.11,82.66,0.085
5,8,8,0.8,82,30,15,0.057,27.21,82.51,0.136
7,8,20,1,72,33,16,0.072,28.12,78.83,0.216
12,6,31,1.5,73,25,16,0.051,26.31,92.88,0.058
14,6,28,1.6,79,0,13,0.05,26.5,93.36,0.077
16,6,44,1.7,62,0,14,0.062,26.31,94.03,0.08
18,6,40,0.3,64,0,16,0.063,26.31,94.71,0.06
20,6,51,0.3,46,19,16,0.1,26.31,94.65,0.068
22,6,53,0.3,38,0,26,0.107,26.31,94.39,0.055
1,7,33,0.3,43,0,20,0.062,26.31,94.39,0.027
3,6,27,0.3,42,0,16,0.087,26.31,94.02,0.041
5,6,30,0.4,36,0,29,0.186,26.31,93.76,0.056
7,8,50,0.6,18,0,49,0.252,27.39,91.23,0.076
9,10,33,0.7,46,0,53,0.196,31.07,76.35,0.144
11,8,20,0.3,90,0,39,0.086,35.27,59.01,0.12
13,7,2,0.3,123,0,28,0.068,36.27,54.53,0.146
15,7,0,0.3,127,22,22,0.066,35.59,55.16,0.131
17,8,31,0.8,88,33,24,0.054,31.02,73.51,0.147
19,6,34,0.7,52,43,13,0.051,27.78,91.77,0.058
21,6,63,0.8,17,19,18,0.067,27.2,94.06,0.079
0,7,48,0.7,26,0,23,0.116,27.2,94.06,0.083
2,9,27,0.7,41,0,36,0.146,27.21,91.2,0.125
4,8,25,0.6,44,0,33,0.193,27.21,92.18,0.113
5,7,21,0.7,49,0,44,0.197,27.21,92.18,0.194
8,8,50,0.8,26,0,38,0.162,27.94,86.95,0.253
10,10,56,0.9,30,52,36,0.191,29.08,81.88,0.23
12,9,56,0.8,46,65,55,0.306,28.79,88.17,0.121
14,7,41,0.9,63,0,59,0.21,28.34,88.38,0.218
16,6,40,0.8,61,0,39,0.149,28.96,84.05,0.182
18,6,30,0.7,72,0,28,0.086,28.26,84.46,0.15
20,6,29,0.7,81,22,17,0.073,27.86,85.53,0.118
22,6,23,0.7,81,20,14,0.084,27.21,86.44,0.107
1,6,17,0.6,69,0,16,0.053,27.21,86.44,0.058
3,6,11,0.6,69,0,16,0.055,25.93,93.69,0.012
5,6,9,0.6,73,0,14,0.037,25.25,93.52,0.011
7,6,21,0.6,70,0,11,0.031,25.3,92.13,0.042
9,6,30,0.6,77,7,5,0.035,26.3,89.51,0.06
11,6,22,0.6,95,0,10,0.036,27.01,83.36,0.094
13,6,12,0.6,117,0,6,0.038,27.21,85.97,0.119
15,11,16,0.7,110,0,21,0.046,14.5,23.9,0.106
15,11,16,0.7,110,0,21,0.051,14.7,22.6,0.09
16,13,18,0.7,109,0,20,0.053,14.6,23.7,0.095
16,13,18,0.7,109,0,20,0.055,14.3,21.4,0.087
17,23,28,0.9,103,26,23,0.068,14.2,25.3,0.101
17,23,28,0.9,103,26,23,0.089,14.1,32.7,0.118
18,16,38,1,94,60,32,0.114,14.6,40.9,0.152
18,16,38,1,94,60,32,0.147,13,53.4,0.152
19,12,45,1.1,88,77,44,0.161,12.3,57,0.157
19,12,45,1.1,88,77,44,0.155,11.6,59.7,0.128
20,12,45,1.1,82,62,53,0.166,11.6,60.6,0.133
20,12,45,1.1,82,62,53,0.175,11.2,64.3,0.129
21,12,48,1.1,78,61,58,0.183,11.2,66.3,0.134
21,12,48,1.1,78,61,58,0.183,11.1,66.9,0.12
22,12,43,1.1,83,0,62,0.181,11,68.9,0.122
22,12,43,1.1,83,0,62,0.178,11,70.1,0.119
23,13,33,1,93,0,57,0.173,10.8,71.2,0.117
23,13,33,1,93,0,57,0.172,10.7,72.2,0.125
0,12,33,1,88,0,53,0.165,10.7,73.7,0.094
0,12,33,1,88,0,53,0.164,10.6,74.1,0.088
1,12,30,1,88,0,55,0.157,10.5,76.1,0.088
1,12,30,1,88,0,55,0.156,10.4,75.6,0.072
2,13,28,1,84,0,51,0.162,10.4,75.6,0.065
2,13,28,1,84,0,51,0.149,10.3,77.6,0.062
3,15,28,1,80,0,46,0.141,10.1,75.9,0.063
